c,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1.5000000000000004,"[16, 0, 1500, 43253, 32133, 746, 0, 10845, 9651, 1, 1500, 33602, 22055, 319, 0, 5103, 4648, 2, 1500, 28954, 17287, 199, 0, 3362, 3113, 3, 1500, 25841, 14107, 132, 0, 2617, 2416, 4, 1500, 23425, 11657, 98, 0, 2205, 2043, 5, 1500, 21382, 9590, 74, 0, 1951, 1786, 6, 1500, 19596, 7776, 46, 0, 1742, 1581, 7, 1500, 18015, 6171, 22, 0, 1651, 1450, 8, 1500, 16565, 4713, 14, 0, 1523, 1315, 9, 1500, 15250, 3391, 7, 0, 1371, 1169, 10, 1500, 14081, 2219, 4, 0, 1211, 989, 11, 1500, 13092, 1227, 1, 0, 967, 709, 12, 1500, 12383, 517, 0, 0, 592, 371, 13, 1500, 12012, 146, 0, 0, 207, 112, 14, 1500, 11900, 34, 0, 0, 34, 16, 15, 1500, 11884, 18, 0, 0, 4, 2, 16, 1500, 11882, 16, 0, 0, 0, 0]"
1.5100000000000005,"[18, 0, 1500, 43954, 33750, 754, 2, 10460, 9441, 1, 1500, 34513, 23914, 357, 0, 4817, 4456, 2, 1500, 30057, 19323, 222, 0, 3123, 2943, 3, 1500, 27114, 16322, 164, 0, 2355, 2222, 4, 1500, 24892, 14056, 120, 0, 1938, 1820, 5, 1500, 23072, 12214, 98, 0, 1750, 1642, 6, 1500, 21430, 10544, 70, 0, 1657, 1530, 7, 1500, 19900, 8998, 54, 0, 1560, 1432, 8, 1500, 18468, 7552, 40, 0, 1484, 1358, 9, 1500, 17110, 6184, 30, 0, 1441, 1286, 10, 1500, 15824, 4883, 15, 0, 1376, 1228, 11, 1500, 14596, 3647, 7, 0, 1286, 1109, 12, 1500, 13487, 2532, 1, 0, 1188, 970, 13, 1500, 12517, 1562, 1, 0, 946, 714, 14, 1500, 11803, 847, 0, 0, 643, 455, 15, 1500, 11348, 392, 0, 0, 369, 240, 16, 1500, 11108, 152, 0, 0, 140, 86, 17, 1500, 11022, 66, 0, 0, 39, 16, 18, 1500, 11006, 50, 0, 0, 0, 0]"
1.5200000000000005,"[17, 0, 1500, 43836, 33217, 733, 0, 10676, 9551, 1, 1500, 34285, 23289, 356, 0, 5037, 4630, 2, 1500, 29655, 18526, 223, 0, 3308, 3112, 3, 1500, 26543, 15343, 152, 0, 2595, 2435, 4, 1500, 24108, 12871, 115, 0, 2249, 2109, 5, 1500, 21999, 10738, 91, 0, 2016, 1853, 6, 1500, 20146, 8863, 69, 0, 1799, 1624, 7, 1500, 18522, 7209, 39, 0, 1605, 1439, 8, 1500, 17083, 5759, 28, 0, 1493, 1313, 9, 1500, 15770, 4433, 15, 0, 1398, 1223, 10, 1500, 14547, 3201, 6, 0, 1321, 1103, 11, 1500, 13444, 2094, 2, 0, 1083, 882, 12, 1500, 12562, 1211, 1, 0, 859, 633, 13, 1500, 11929, 578, 1, 0, 502, 346, 14, 1500, 11583, 232, 1, 0, 236, 151, 15, 1500, 11432, 80, 0, 0, 98, 56, 16, 1500, 11376, 24, 0, 0, 18, 8, 17, 1500, 11368, 16, 0, 0, 0, 0]"
1.5300000000000005,"[22, 0, 1500, 44593, 34789, 742, 0, 10526, 9471, 1, 1500, 35122, 24952, 376, 0, 4761, 4405, 2, 1500, 30717, 20412, 241, 0, 2976, 2806, 3, 1500, 27911, 17534, 169, 0, 2235, 2119, 4, 1500, 25792, 15380, 134, 0, 1823, 1736, 5, 1500, 24056, 13613, 103, 0, 1669, 1558, 6, 1500, 22498, 12037, 85, 0, 1482, 1390, 7, 1500, 21108, 10632, 70, 0, 1427, 1341, 8, 1500, 19767, 9278, 57, 0, 1346, 1249, 9, 1500, 18518, 8024, 52, 0, 1291, 1199, 10, 1500, 17319, 6810, 37, 0, 1248, 1127, 11, 1500, 16192, 5673, 27, 0, 1205, 1081, 12, 1500, 15111, 4584, 19, 0, 1169, 1043, 13, 1500, 14068, 3535, 13, 0, 1163, 983, 14, 1500, 13085, 2548, 9, 0, 1063, 879, 15, 1500, 12206, 1664, 4, 0, 888, 707, 16, 1500, 11499, 955, 2, 0, 657, 474, 17, 1500, 11025, 480, 1, 0, 388, 262, 18, 1500, 10763, 217, 0, 0, 186, 123, 19, 1500, 10640, 94, 0, 0, 91, 56, 20, 1500, 10584, 38, 0, 0, 31, 16, 21, 1500, 10568, 22, 0, 0, 4, 2, 22, 1500, 10566, 20, 0, 0, 0, 0]"
1.5400000000000005,"[27, 0, 1500, 45062, 36261, 930, 3, 10289, 9309, 1, 1500, 35753, 26498, 473, 0, 4589, 4320, 2, 1500, 31433, 22015, 310, 0, 2791, 2662, 3, 1500, 28771, 19266, 223, 0, 2059, 1965, 4, 1500, 26806, 17253, 175, 0, 1606, 1557, 5, 1500, 25249, 15666, 145, 0, 1414, 1362, 6, 1500, 23887, 14283, 124, 0, 1333, 1271, 7, 1500, 22616, 12995, 107, 0, 1161, 1101, 8, 1500, 21515, 11877, 90, 0, 1093, 1045, 9, 1500, 20470, 10825, 83, 0, 1052, 1004, 10, 1500, 19466, 9810, 72, 0, 1039, 977, 11, 1500, 18489, 8818, 57, 0, 1045, 983, 12, 1500, 17506, 7828, 50, 0, 1056, 971, 13, 1500, 16535, 6847, 40, 0, 993, 926, 14, 1500, 15609, 5912, 31, 0, 1037, 948, 15, 1500, 14661, 4960, 27, 0, 1040, 942, 16, 1500, 13719, 4007, 16, 0, 1014, 890, 17, 1500, 12829, 3107, 6, 0, 970, 840, 18, 1500, 11989, 2264, 3, 0, 913, 773, 19, 1500, 11216, 1490, 2, 0, 843, 639, 20, 1500, 10577, 851, 2, 0, 582, 436, 21, 1500, 10141, 414, 1, 0, 348, 231, 22, 1500, 9910, 182, 0, 0, 166, 104, 23, 1500, 9806, 78, 0, 0, 38, 27, 24, 1500, 9779, 51, 0, 0, 17, 12, 25, 1500, 9767, 39, 0, 0, 11, 6, 26, 1500, 9761, 33, 0, 0, 3, 1, 27, 1500, 9760, 32, 0, 0, 0, 0]"
1.5500000000000005,"[26, 0, 1500, 45170, 36332, 869, 2, 10226, 9244, 1, 1500, 35926, 26650, 429, 0, 4546, 4281, 2, 1500, 31645, 22227, 287, 0, 2770, 2643, 3, 1500, 29002, 19530, 233, 0, 2052, 1972, 4, 1500, 27030, 17510, 185, 0, 1602, 1523, 5, 1500, 25507, 15953, 151, 0, 1298, 1242, 6, 1500, 24265, 14693, 133, 0, 1131, 1092, 7, 1500, 23173, 13584, 116, 0, 1040, 994, 8, 1500, 22179, 12580, 106, 0, 969, 929, 9, 1500, 21250, 11640, 95, 0, 912, 878, 10, 1500, 20372, 10753, 86, 0, 906, 858, 11, 1500, 19514, 9890, 81, 0, 897, 852, 12, 1500, 18662, 9024, 67, 0, 897, 852, 13, 1500, 17810, 8157, 52, 0, 942, 882, 14, 1500, 16928, 7262, 39, 0, 978, 907, 15, 1500, 16021, 6348, 32, 0, 1003, 928, 16, 1500, 15093, 5417, 29, 0, 1030, 913, 17, 1500, 14180, 4502, 27, 0, 996, 888, 18, 1500, 13292, 3604, 17, 0, 972, 867, 19, 1500, 12425, 2733, 13, 0, 955, 828, 20, 1500, 11597, 1898, 6, 0, 916, 744, 21, 1500, 10853, 1151, 3, 0, 688, 547, 22, 1500, 10306, 601, 0, 0, 511, 368, 23, 1500, 9938, 233, 0, 0, 277, 170, 24, 1500, 9768, 63, 0, 0, 82, 44, 25, 1500, 9724, 19, 0, 0, 8, 3, 26, 1500, 9721, 16, 0, 0, 0, 0]"
1.5600000000000005,"[33, 0, 1500, 45442, 37099, 898, 2, 10160, 9196, 1, 1500, 36246, 27473, 467, 1, 4314, 4037, 2, 1500, 32209, 23304, 335, 1, 2588, 2458, 3, 1500, 29751, 20782, 271, 1, 1785, 1723, 4, 1500, 28028, 19026, 237, 0, 1461, 1416, 5, 1500, 26612, 17573, 200, 0, 1178, 1142, 6, 1500, 25470, 16397, 166, 0, 1006, 972, 7, 1500, 24498, 15407, 148, 0, 914, 879, 8, 1500, 23619, 14515, 135, 0, 835, 805, 9, 1500, 22814, 13698, 123, 0, 766, 735, 10, 1500, 22079, 12953, 113, 0, 744, 710, 11, 1500, 21369, 12226, 96, 0, 687, 664, 12, 1500, 20705, 11553, 87, 0, 647, 627, 13, 1500, 20078, 10915, 76, 0, 649, 627, 14, 1500, 19451, 10279, 67, 0, 635, 613, 15, 1500, 18838, 9660, 61, 0, 669, 632, 16, 1500, 18206, 9018, 51, 0, 651, 618, 17, 1500, 17588, 8396, 47, 0, 664, 623, 18, 1500, 16965, 7767, 41, 0, 667, 638, 19, 1500, 16327, 7123, 35, 0, 717, 669, 20, 1500, 15658, 6451, 32, 0, 723, 680, 21, 1500, 14978, 5763, 24, 0, 742, 696, 22, 1500, 14282, 5063, 20, 0, 802, 739, 23, 1500, 13543, 4319, 15, 0, 801, 728, 24, 1500, 12815, 3583, 7, 0, 839, 758, 25, 1500, 12057, 2823, 5, 0, 871, 761, 26, 1500, 11296, 2060, 3, 0, 848, 695, 27, 1500, 10601, 1364, 2, 0, 702, 566, 28, 1500, 10035, 796, 0, 0, 576, 426, 29, 1500, 9609, 370, 0, 0, 354, 226, 30, 1500, 9383, 144, 0, 0, 148, 96, 31, 1500, 9287, 48, 0, 0, 63, 34, 32, 1500, 9253, 14, 0, 0, 12, 6, 33, 1500, 9247, 8, 0, 0, 0, 0]"
1.5700000000000005,"[26, 0, 1500, 45325, 36417, 850, 0, 10310, 9398, 1, 1500, 35927, 26602, 433, 0, 4587, 4287, 2, 1500, 31640, 22177, 295, 0, 2806, 2667, 3, 1500, 28973, 19437, 222, 0, 2018, 1942, 4, 1500, 27031, 17447, 174, 0, 1611, 1561, 5, 1500, 25470, 15856, 144, 0, 1405, 1346, 6, 1500, 24124, 14480, 114, 0, 1219, 1170, 7, 1500, 22954, 13297, 101, 0, 1116, 1056, 8, 1500, 21898, 12234, 94, 0, 990, 937, 9, 1500, 20961, 11285, 82, 0, 963, 929, 10, 1500, 20032, 10350, 76, 0, 956, 913, 11, 1500, 19119, 9431, 70, 0, 1009, 954, 12, 1500, 18165, 8458, 51, 0, 981, 928, 13, 1500, 17237, 7520, 41, 0, 979, 912, 14, 1500, 16325, 6604, 37, 0, 1043, 961, 15, 1500, 15364, 5636, 30, 0, 1048, 955, 16, 1500, 14409, 4670, 19, 0, 1057, 955, 17, 1500, 13454, 3712, 16, 0, 1038, 905, 18, 1500, 12549, 2801, 10, 0, 986, 840, 19, 1500, 11709, 1960, 9, 0, 891, 729, 20, 1500, 10980, 1228, 6, 0, 744, 560, 21, 1500, 10420, 665, 3, 0, 492, 341, 22, 1500, 10079, 322, 1, 0, 251, 168, 23, 1500, 9911, 153, 0, 0, 119, 78, 24, 1500, 9833, 75, 0, 0, 46, 27, 25, 1500, 9806, 48, 0, 0, 6, 2, 26, 1500, 9804, 46, 0, 0, 0, 0]"
1.5800000000000005,"[60, 0, 1500, 46186, 38895, 973, 2, 9768, 8930, 1, 1500, 37256, 29529, 535, 0, 4155, 3926, 2, 1500, 33330, 25454, 386, 0, 2379, 2289, 3, 1500, 31041, 23105, 326, 0, 1631, 1583, 4, 1500, 29458, 21472, 276, 0, 1191, 1154, 5, 1500, 28304, 20295, 253, 0, 946, 916, 6, 1500, 27388, 19365, 239, 0, 753, 738, 7, 1500, 26650, 18610, 222, 0, 641, 630, 8, 1500, 26020, 17969, 211, 0, 563, 552, 9, 1500, 25468, 17408, 202, 0, 517, 504, 10, 1500, 24964, 16890, 188, 0, 459, 448, 11, 1500, 24516, 16434, 180, 0, 428, 413, 12, 1500, 24103, 16017, 176, 0, 375, 367, 13, 1500, 23736, 15644, 170, 0, 337, 331, 14, 1500, 23405, 15307, 164, 0, 310, 304, 15, 1500, 23101, 15001, 162, 0, 304, 299, 16, 1500, 22802, 14696, 156, 0, 299, 294, 17, 1500, 22508, 14395, 149, 0, 284, 278, 18, 1500, 22230, 14110, 142, 0, 292, 286, 19, 1500, 21944, 13814, 132, 0, 282, 275, 20, 1500, 21669, 13536, 129, 0, 278, 272, 21, 1500, 21397, 13257, 122, 0, 273, 268, 22, 1500, 21129, 12986, 119, 0, 262, 255, 23, 1500, 20874, 12725, 113, 0, 251, 240, 24, 1500, 20634, 12484, 112, 0, 236, 233, 25, 1500, 20401, 12247, 108, 0, 233, 230, 26, 1500, 20171, 12010, 101, 0, 238, 233, 27, 1500, 19938, 11773, 97, 0, 246, 240, 28, 1500, 19698, 11528, 92, 0, 239, 234, 29, 1500, 19464, 11291, 89, 0, 251, 242, 30, 1500, 19222, 11044, 84, 0, 216, 212, 31, 1500, 19010, 10828, 80, 0, 226, 222, 32, 1500, 18788, 10604, 78, 0, 240, 234, 33, 1500, 18554, 10366, 74, 0, 231, 228, 34, 1500, 18326, 10137, 73, 0, 244, 238, 35, 1500, 18088, 9894, 68, 0, 262, 253, 36, 1500, 17835, 9639, 66, 0, 293, 282, 37, 1500, 17553, 9354, 63, 0, 312, 301, 38, 1500, 17252, 9053, 63, 0, 343, 326, 39, 1500, 16926, 8725, 61, 0, 368, 348, 40, 1500, 16578, 8372, 56, 0, 399, 382, 41, 1500, 16196, 7988, 54, 0, 461, 434, 42, 1500, 15762, 7549, 49, 0, 500, 475, 43, 1500, 15287, 7069, 44, 0, 542, 518, 44, 1500, 14769, 6545, 38, 0, 621, 584, 45, 1500, 14185, 5956, 33, 0, 662, 626, 46, 1500, 13559, 5327, 30, 0, 689, 644, 47, 1500, 12915, 4676, 23, 0, 729, 662, 48, 1500, 12253, 4008, 17, 0, 755, 687, 49, 1500, 11566, 3317, 13, 0, 787, 700, 50, 1500, 10866, 2613, 9, 0, 783, 674, 51, 1500, 10192, 1936, 6, 0, 729, 608, 52, 1500, 9584, 1326, 4, 0, 638, 507, 53, 1500, 9077, 816, 1, 0, 483, 367, 54, 1500, 8710, 449, 1, 0, 298, 210, 55, 1500, 8500, 238, 0, 0, 148, 95, 56, 1500, 8405, 143, 0, 0, 56, 40, 57, 1500, 8365, 103, 0, 0, 25, 18, 58, 1500, 8347, 85, 0, 0, 11, 9, 59, 1500, 8338, 76, 0, 0, 6, 4, 60, 1500, 8334, 72, 0, 0, 0, 0]"
1.5900000000000005,"[49, 0, 1500, 46722, 40317, 1059, 0, 9432, 8666, 1, 1500, 38056, 31180, 588, 0, 3892, 3696, 2, 1500, 34360, 27337, 441, 0, 2135, 2078, 3, 1500, 32282, 25179, 361, 0, 1402, 1368, 4, 1500, 30914, 23772, 322, 0, 1006, 986, 5, 1500, 29928, 22766, 302, 0, 725, 711, 6, 1500, 29217, 22039, 286, 0, 566, 558, 7, 1500, 28659, 21473, 278, 0, 500, 490, 8, 1500, 28169, 20971, 266, 0, 420, 416, 9, 1500, 27753, 20548, 259, 0, 371, 367, 10, 1500, 27386, 20173, 251, 0, 311, 306, 11, 1500, 27080, 19865, 249, 0, 270, 267, 12, 1500, 26813, 19595, 246, 0, 259, 255, 13, 1500, 26558, 19335, 241, 0, 228, 222, 14, 1500, 26336, 19108, 236, 0, 197, 192, 15, 1500, 26144, 18913, 233, 0, 165, 160, 16, 1500, 25984, 18745, 225, 0, 130, 129, 17, 1500, 25855, 18612, 221, 0, 116, 115, 18, 1500, 25740, 18494, 218, 0, 105, 105, 19, 1500, 25635, 18388, 217, 0, 94, 94, 20, 1500, 25541, 18291, 214, 0, 83, 83, 21, 1500, 25458, 18208, 214, 0, 76, 75, 22, 1500, 25383, 18132, 213, 0, 63, 63, 23, 1500, 25320, 18067, 211, 0, 52, 51, 24, 1500, 25269, 18015, 210, 0, 48, 48, 25, 1500, 25221, 17966, 209, 0, 39, 39, 26, 1500, 25182, 17925, 207, 0, 34, 33, 27, 1500, 25149, 17889, 204, 0, 26, 26, 28, 1500, 25123, 17863, 204, 0, 16, 16, 29, 1500, 25107, 17847, 204, 0, 13, 13, 30, 1500, 25094, 17834, 204, 0, 11, 11, 31, 1500, 25083, 17822, 203, 0, 12, 12, 32, 1500, 25071, 17809, 202, 0, 9, 9, 33, 1500, 25062, 17800, 202, 0, 10, 10, 34, 1500, 25052, 17789, 201, 0, 9, 9, 35, 1500, 25043, 17780, 201, 0, 11, 11, 36, 1500, 25032, 17768, 200, 0, 6, 6, 37, 1500, 25026, 17762, 200, 0, 3, 3, 38, 1500, 25023, 17758, 199, 0, 3, 3, 39, 1500, 25020, 17755, 199, 0, 5, 5, 40, 1500, 25015, 17750, 199, 0, 6, 6, 41, 1500, 25009, 17744, 199, 0, 3, 3, 42, 1500, 25006, 17741, 199, 0, 4, 4, 43, 1500, 25002, 17737, 199, 0, 3, 3, 44, 1500, 24999, 17734, 199, 0, 3, 3, 45, 1500, 24996, 17731, 199, 0, 4, 4, 46, 1500, 24992, 17727, 199, 0, 4, 4, 47, 1500, 24988, 17723, 199, 0, 3, 3, 48, 1500, 24985, 17720, 199, 0, 1, 1, 49, 1500, 24984, 17719, 199, 0, 0, 0]"
1.6000000000000005,"[65, 0, 1500, 46169, 38758, 1023, 2, 9932, 9067, 1, 1500, 37102, 29232, 562, 0, 4168, 3930, 2, 1500, 33172, 25163, 423, 0, 2487, 2383, 3, 1500, 30789, 22706, 349, 0, 1682, 1627, 4, 1500, 29162, 21042, 312, 0, 1249, 1219, 5, 1500, 27943, 19792, 281, 0, 975, 948, 6, 1500, 26995, 18818, 255, 0, 778, 755, 7, 1500, 26240, 18046, 238, 0, 660, 647, 8, 1500, 25593, 17383, 222, 0, 572, 557, 9, 1500, 25036, 16818, 214, 0, 498, 485, 10, 1500, 24551, 16320, 201, 0, 443, 432, 11, 1500, 24119, 15878, 191, 0, 372, 365, 12, 1500, 23754, 15504, 182, 0, 331, 327, 13, 1500, 23427, 15172, 177, 0, 326, 315, 14, 1500, 23112, 14852, 172, 0, 311, 305, 15, 1500, 22807, 14539, 164, 0, 277, 271, 16, 1500, 22536, 14265, 161, 0, 245, 243, 17, 1500, 22293, 14016, 155, 0, 228, 224, 18, 1500, 22069, 13790, 153, 0, 229, 221, 19, 1500, 21848, 13565, 149, 0, 210, 204, 20, 1500, 21644, 13354, 142, 0, 215, 209, 21, 1500, 21435, 13141, 138, 0, 198, 196, 22, 1500, 21239, 12942, 135, 0, 197, 194, 23, 1500, 21045, 12742, 129, 0, 197, 192, 24, 1500, 20853, 12543, 122, 0, 189, 182, 25, 1500, 20671, 12359, 120, 0, 183, 178, 26, 1500, 20493, 12180, 119, 0, 184, 177, 27, 1500, 20316, 12000, 116, 0, 179, 175, 28, 1500, 20141, 11820, 111, 0, 188, 184, 29, 1500, 19957, 11636, 111, 0, 198, 191, 30, 1500, 19766, 11442, 108, 0, 196, 184, 31, 1500, 19582, 11256, 106, 0, 195, 187, 32, 1500, 19395, 11069, 106, 0, 198, 190, 33, 1500, 19205, 10874, 101, 0, 182, 180, 34, 1500, 19025, 10692, 99, 0, 198, 191, 35, 1500, 18834, 10496, 94, 0, 201, 194, 36, 1500, 18640, 10301, 93, 0, 218, 210, 37, 1500, 18430, 10089, 91, 0, 209, 204, 38, 1500, 18226, 9883, 89, 0, 207, 200, 39, 1500, 18026, 9680, 86, 0, 237, 226, 40, 1500, 17800, 9450, 82, 0, 263, 250, 41, 1500, 17550, 9194, 76, 0, 273, 263, 42, 1500, 17287, 8927, 72, 0, 288, 283, 43, 1500, 17004, 8640, 68, 0, 310, 302, 44, 1500, 16702, 8335, 65, 0, 331, 323, 45, 1500, 16379, 8007, 60, 0, 391, 373, 46, 1500, 16006, 7629, 55, 0, 431, 414, 47, 1500, 15592, 7209, 49, 0, 463, 438, 48, 1500, 15154, 6761, 39, 0, 506, 478, 49, 1500, 14676, 6272, 28, 0, 561, 529, 50, 1500, 14147, 5742, 27, 0, 608, 563, 51, 1500, 13584, 5172, 20, 0, 641, 592, 52, 1500, 12992, 4575, 15, 0, 668, 602, 53, 1500, 12390, 3971, 13, 0, 692, 629, 54, 1500, 11761, 3337, 8, 0, 702, 607, 55, 1500, 11154, 2726, 4, 0, 684, 581, 56, 1500, 10573, 2144, 3, 0, 654, 545, 57, 1500, 10028, 1597, 1, 0, 575, 476, 58, 1500, 9552, 1120, 0, 0, 498, 408, 59, 1500, 9144, 712, 0, 0, 435, 321, 60, 1500, 8823, 391, 0, 0, 279, 201, 61, 1500, 8622, 190, 0, 0, 153, 95, 62, 1500, 8527, 95, 0, 0, 45, 22, 63, 1500, 8505, 73, 0, 0, 13, 8, 64, 1500, 8497, 65, 0, 0, 7, 3, 65, 1500, 8494, 62, 0, 0, 0, 0]"
1.6100000000000005,"[51, 0, 1500, 46783, 40531, 1087, 1, 9568, 8783, 1, 1500, 38000, 31285, 623, 0, 3834, 3657, 2, 1500, 34343, 27468, 463, 0, 2143, 2078, 3, 1500, 32265, 25319, 392, 0, 1361, 1326, 4, 1500, 30939, 23957, 356, 0, 978, 960, 5, 1500, 29979, 22968, 327, 0, 720, 712, 6, 1500, 29267, 22239, 310, 0, 596, 583, 7, 1500, 28684, 21640, 294, 0, 470, 463, 8, 1500, 28221, 21173, 290, 0, 387, 378, 9, 1500, 27843, 20792, 287, 0, 328, 324, 10, 1500, 27519, 20459, 278, 0, 272, 268, 11, 1500, 27251, 20179, 266, 0, 215, 211, 12, 1500, 27040, 19964, 262, 0, 168, 167, 13, 1500, 26873, 19795, 260, 0, 133, 132, 14, 1500, 26741, 19657, 254, 0, 101, 101, 15, 1500, 26640, 19551, 249, 0, 86, 86, 16, 1500, 26554, 19464, 248, 0, 71, 71, 17, 1500, 26483, 19390, 245, 0, 61, 60, 18, 1500, 26423, 19329, 244, 0, 65, 64, 19, 1500, 26359, 19264, 243, 0, 45, 45, 20, 1500, 26314, 19219, 243, 0, 52, 52, 21, 1500, 26262, 19166, 242, 0, 50, 50, 22, 1500, 26212, 19116, 242, 0, 47, 45, 23, 1500, 26167, 19071, 242, 0, 40, 40, 24, 1500, 26127, 19030, 241, 0, 40, 39, 25, 1500, 26088, 18991, 241, 0, 35, 35, 26, 1500, 26053, 18956, 241, 0, 29, 29, 27, 1500, 26024, 18926, 240, 0, 23, 23, 28, 1500, 26001, 18903, 240, 0, 23, 23, 29, 1500, 25978, 18880, 240, 0, 20, 19, 30, 1500, 25959, 18861, 240, 0, 17, 17, 31, 1500, 25942, 18844, 240, 0, 20, 20, 32, 1500, 25922, 18824, 240, 0, 11, 11, 33, 1500, 25911, 18813, 240, 0, 11, 11, 34, 1500, 25900, 18802, 240, 0, 12, 12, 35, 1500, 25888, 18790, 240, 0, 9, 9, 36, 1500, 25879, 18781, 240, 0, 9, 9, 37, 1500, 25870, 18772, 240, 0, 13, 13, 38, 1500, 25857, 18759, 240, 0, 11, 11, 39, 1500, 25846, 18748, 240, 0, 10, 10, 40, 1500, 25836, 18738, 240, 0, 10, 9, 41, 1500, 25827, 18729, 240, 0, 5, 5, 42, 1500, 25822, 18724, 240, 0, 3, 3, 43, 1500, 25819, 18721, 240, 0, 2, 2, 44, 1500, 25817, 18719, 240, 0, 2, 2, 45, 1500, 25815, 18717, 240, 0, 2, 2, 46, 1500, 25813, 18715, 240, 0, 1, 1, 47, 1500, 25812, 18714, 240, 0, 1, 1, 48, 1500, 25811, 18713, 240, 0, 2, 2, 49, 1500, 25809, 18711, 240, 0, 3, 3, 50, 1500, 25806, 18708, 240, 0, 1, 1, 51, 1500, 25805, 18707, 240, 0, 0, 0]"
